question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I am deeply in touch with my emotions,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,173,0,私は自分の感情に深く向き合っている,나는 내 감정에 깊이 연결되어 있다,我与自己的情感有深刻联系,我與自己的情感有深刻聯繫,Estoy profundamente en contacto con mis emociones,Je suis profondément en contact avec mes émotions,Estou profundamente em contato com minhas emoções,أنا على اتصال عميق بمشاعري,मैं अपनी भावनाओं के साथ गहरे संबंध में हूँ,"Ich bin motiviert, meine Ziele zu erreichen",Sono profondamente in contatto con le mie emozioni,Saya sangat terhubung dengan emosi saya
I value privacy and time alone,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,174,0,私はプライバシーと一人の時間を大切にする,나는 사생활과 혼자 있는 시간을 중요하게 여긴다,我重视隐私和独处的时间,我重視隱私和獨處的時間,Valoro la privacidad y el tiempo a solas,Je valorise la vie privée et le temps seul,Valorizo a privacidade e o tempo sozinho,أُقدّر الخصوصية والوقت الذي أقضيه بمفردي,मैं गोपनीयता और अकेले समय को महत्व देता हूँ,Ich bin tief mit meinen Emotionen verbunden,Valorizzo la privacy e il tempo da solo,Saya menghargai privasi dan waktu sendiri
I dislike feeling restricted or limited,,scale,true,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,175,0,私は制限される感覚が嫌いだ,나는 제한되거나 구속되는 느낌을 싫어한다,我不喜欢被限制的感觉,我不喜歡被限制的感覺,No me gusta sentirme restringido o limitado,Je n’aime pas me sentir restreint ou limité,Não gosto de me sentir restringido ou limitado,لا أحب الشعور بأنني مقيد أو محدود,मुझे सीमित या प्रतिबंधित महसूस होना पसंद नहीं है,Ich schätze Privatsphäre und Zeit für mich allein,Non mi piace sentirmi limitato o vincolato,Saya tidak suka merasa dibatasi atau dikekang
I feel anxious if tasks are not completed perfectly,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,176,0,作業が完璧に終わっていないと不安になる,과업이 완벽하게 완료되지 않으면 불안해진다,如果任务没有完美完成我会感到焦虑,如果任務沒有完美完成我會感到焦慮,Me siento ansioso si las tareas no se completan perfectamente,Je me sens anxieux si les tâches ne sont pas parfaitement accomplies,Fico ansioso se as tarefas não forem concluídas perfeitamente,أشعر بالقلق إذا لم يتم إنجاز المهام بشكل مثالي,अगर कार्य पूरी तरह से नहीं होते तो मैं चिंतित महसूस करता हूँ,"Ich mag es nicht, eingeschränkt oder begrenzt zu sein",Mi sento ansioso se i compiti non sono completati perfettamente,Saya merasa cemas jika tugas tidak diselesaikan dengan sempurna
I feel uneasy when faced with unpredictability,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,177,0,予測不能な状況に直面すると不安になる,예측할 수 없는 상황에 직면하면 불안해진다,面对不可预测的情况时我感到不安,面對不可預測的情況時我感到不安,Me siento incómodo cuando me enfrento a la imprevisibilidad,Je me sens mal à l’aise face à l’imprévisibilité,Sinto-me desconfortável diante da imprevisibilidade,أشعر بعدم الارتياح عندما أواجه أمورًا غير متوقعة,जब अनिश्चितता का सामना करता हूँ तो मैं बेचैन हो जाता हूँ,"Ich fühle mich unruhig, wenn Aufgaben nicht perfekt erledigt sind",Mi sento a disagio di fronte all’imprevedibilità,Saya merasa tidak nyaman saat menghadapi hal yang tidak dapat diprediksi
I prefer working in collaborative environments,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,178,0,私は協力的な環境で働くことを好む,나는 협업 환경에서 일하는 것을 선호한다,我更喜欢在协作环境中工作,我更喜歡在協作環境中工作,Prefiero trabajar en entornos colaborativos,Je préfère travailler dans des environnements collaboratifs,Prefiro trabalhar em ambientes colaborativos,أفضل العمل في بيئات تعاونية,मैं सहयोगात्मक वातावरण में काम करना पसंद करता हूँ,Ich fühle mich unwohl bei Unvorhersehbarkeit,Preferisco lavorare in ambienti collaborativi,Saya lebih suka bekerja dalam lingkungan kolaboratif
I am supportive and enjoy helping others succeed,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,179,0,私は他人を支援し、成功を手助けすることに喜びを感じる,나는 다른 사람을 돕고 성공을 도모하는 것을 즐긴다,我很支持他人并喜欢帮助他们成功,我很支持他人並喜歡幫助他們成功,Brindo apoyo y disfruto ayudando a los demás a tener éxito,Je suis solidaire et j’aime aider les autres à réussir,Sou solidário e gosto de ajudar os outros a ter sucesso,أقدم الدعم وأستمتع بمساعدة الآخرين على النجاح,मैं सहायक हूँ और दूसरों को सफल बनाने में खुशी महसूस करता हूँ,Ich arbeite lieber in kooperativen Umgebungen,Sono di supporto e mi piace aiutare gli altri a avere successo,Saya mendukung dan senang membantu orang lain untuk berhasil
I feel comfortable being the center of attention,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,180,0,注目の的になることに居心地の良さを感じる,나는 주목받는 것을 편안하게 느낀다,我喜欢成为关注的焦点,我喜歡成為關注的焦點,Me siento cómodo siendo el centro de atención,Je me sens à l’aise d’être au centre de l’attention,Sinto-me à vontade sendo o centro das atenções,أشعر بالراحة عندما أكون محط الأنظار,मुझे सबका ध्यान आकर्षित करना अच्छा लगता है,"Ich bin unterstützend und helfe gerne anderen, erfolgreich zu sein",Mi sento a mio agio ad essere al centro dell’attenzione,Saya merasa nyaman menjadi pusat perhatian
I value precision and quality in my work,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,181,0,私は仕事において正確さと品質を重視する,나는 일에서 정확성과 품질을 중요하게 생각한다,我重视工作中的精确性和质量,我重視工作中的精確性和品質,Valoro la precisión y la calidad en mi trabajo,Je valorise la précision et la qualité dans mon travail,Valorizo precisão e qualidade no meu trabalho,أُقدّر الدقة والجودة في عملي,मैं अपने काम में सटीकता और गुणवत्ता को महत्व देता हूँ,"Ich fühle mich wohl, wenn ich im Mittelpunkt stehe",Valorizzo la precisione e la qualità nel mio lavoro,Saya menghargai ketelitian dan kualitas dalam pekerjaan saya
I feel disheartened if I am not acknowledged by others,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,182,0,他人に認められないと気落ちする,다른 사람에게 인정받지 못하면 낙담한다,如果没有被他人认可我会感到沮丧,如果沒有被他人認可我會感到沮喪,Me desanimo si no soy reconocido por los demás,Je me décourage si je ne suis pas reconnu par les autres,Eu me desanimo se não for reconhecido pelos outros,أشعر بالإحباط إذا لم يعترف بي الآخرون,अगर मुझे दूसरों से मान्यता नहीं मिलती तो मैं निराश हो जाता हूँ,Ich lege Wert auf Präzision und Qualität in meiner Arbeit,Mi sento scoraggiato se gli altri non mi riconoscono,Saya merasa kecewa jika tidak diakui oleh orang lain
I am uncomfortable when I have to make quick decisions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,183,0,急な決断を迫られると不快に感じる,급하게 결정을 내려야 할 때 불편하다,我在必须迅速做决定时感到不自在,我在必須迅速做決定時感到不自在,Me siento incómodo cuando tengo que tomar decisiones rápidas,Je me sens mal à l’aise lorsque je dois prendre des décisions rapides,Me sinto desconfortável ao ter que tomar decisões rápidas,أشعر بعدم الارتياح عند الاضطرار لاتخاذ قرارات سريعة,जब मुझे जल्दी निर्णय लेना पड़ता है तो मैं असहज महसूस करता हूँ,"Ich bin entmutigt, wenn meine Arbeit nicht anerkannt wird",Mi sento a disagio quando devo prendere decisioni rapide,Saya merasa tidak nyaman ketika harus membuat keputusan cepat
I enjoy competition and strive to win,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,184,0,私は競争を楽しみ、勝利を目指す,나는 경쟁을 즐기고 승리를 위해 노력한다,我喜欢竞争并努力获胜,我喜歡競爭並努力獲勝,Disfruto la competencia y me esfuerzo por ganar,J’aime la compétition et je m’efforce de gagner,Gosto de competir e me esforço para vencer,أستمتع بالمنافسة وأسعى للفوز,मैं प्रतिस्पर्धा का आनंद लेता हूँ और जीतने का प्रयास करता हूँ,"Ich fühle mich unwohl, wenn ich schnelle Entscheidungen treffen muss",Mi piace la competizione e cerco di vincere,Saya senang bersaing dan berusaha menang
I am often decisive and firm in my actions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,185,0,私は行動において決断力があり、断固としていることが多い,나는 행동에서 결단력 있고 단호한 편이다,我在行动中经常果断坚定,我在行動中經常果斷堅定,A menudo soy decidido y firme en mis acciones,Je suis souvent décisif et ferme dans mes actions,Frequentemente sou decisivo e firme em minhas ações,أنا حاسم وحازم في أفعالي غالبًا,मैं अक्सर अपने कार्यों में निर्णायक और दृढ़ होता हूँ,Ich genieße den Wettbewerb und strebe danach zu gewinnen,Spesso sono deciso e fermo nelle mie azioni,Saya sering tegas dan yakin dalam tindakan saya
I am willing to challenge others if needed,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,186,0,必要であれば他人に挑戦する意欲がある,필요하다면 다른 사람에게 도전할 의향이 있다,如有需要我愿意挑战他人,如有需要我願意挑戰他人,Estoy dispuesto a desafiar a otros si es necesario,Je suis prêt à défier les autres si nécessaire,"Estou disposto a desafiar os outros, se necessário",أنا مستعد لتحدي الآخرين إذا لزم الأمر,यदि आवश्यकता हो तो मैं दूसरों को चुनौती देने के लिए तैयार हूँ,Ich bin oft entschlossen und entschlussfreudig in meinem Handeln,Sono disposto a sfidare gli altri se necessario,Saya bersedia menantang orang lain jika diperlukan
I am direct and assertive in my communication style,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,187,0,私はコミュニケーションスタイルにおいて率直で主張が強い,나는 소통 방식에서 직설적이고 단호하다,我的沟通风格直接且坚定,我的溝通風格直接且堅定,Soy directo y asertivo en mi estilo de comunicación,Je suis direct et assertif dans mon style de communication,Sou direto e assertivo no meu estilo de comunicação,أنا مباشر وحازم في أسلوبي في التواصل,मैं अपनी संवाद शैली में स्पष्ट और आत्मविश्वासी हूँ,"Ich bin bereit, andere herauszufordern, wenn es nötig ist",Sono diretto e deciso nel mio stile comunicativo,Saya lugas dan tegas dalam gaya komunikasi saya
I enjoy analyzing information before making decisions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,188,0,私は意思決定前に情報を分析するのが好きだ,나는 결정을 내리기 전에 정보를 분석하는 것을 즐긴다,我喜欢在做决定前分析信息,我喜歡在做決定前分析信息,Disfruto analizar la información antes de tomar decisiones,J’aime analyser les informations avant de prendre des décisions,Gosto de analisar informações antes de tomar decisões,أستمتع بتحليل المعلومات قبل اتخاذ القرارات,मैं निर्णय लेने से पहले जानकारी का विश्लेषण करना पसंद करता हूँ,Ich bin direkt und selbstbewusst in meiner Kommunikation,Mi piace analizzare le informazioni prima di prendere decisioni,Saya senang menganalisis informasi sebelum membuat keputusan
I am quick to make decisions even under pressure,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,189,0,プレッシャーの中でもすぐに決断を下す,압박 속에서도 빠르게 결정을 내릴 수 있다,即使在压力下我也能迅速做出决定,即使在壓力下我也能迅速做出決定,Puedo tomar decisiones rápidamente incluso bajo presión,Je prends rapidement des décisions même sous pression,Consigo tomar decisões rapidamente mesmo sob pressão,أتخذ قرارات بسرعة حتى تحت الضغط,मैं दबाव में भी तेजी से निर्णय ले सकता हूँ,"Ich analysiere gerne Informationen, bevor ich Entscheidungen treffe",Prendo decisioni rapidamente anche sotto pressione,Saya cepat membuat keputusan bahkan di bawah tekanan
I enjoy engaging in social activities,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,190,0,私は社交的な活動に参加するのが好きだ,나는 사교 활동에 참여하는 것을 즐긴다,我喜欢参与社交活动,我喜歡參與社交活動,Disfruto participar en actividades sociales,J’aime participer à des activités sociales,Gosto de participar de atividades sociais,أستمتع بالمشاركة في الأنشطة الاجتماعية,मैं सामाजिक गतिविधियों में भाग लेना पसंद करता हूँ,Ich treffe auch unter Druck schnell Entscheidungen,Mi piace partecipare ad attività sociali,Saya senang terlibat dalam aktivitas sosial
I get discouraged if others don’t respond to me positively,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,191,0,他人が好意的に反応しないと落ち込む,다른 사람이 긍정적으로 반응하지 않으면 낙담한다,如果他人反应不佳我会感到沮丧,如果他人反應不佳我會感到沮喪,Me desanimo si los demás no responden positivamente,Je me décourage si les autres ne réagissent pas positivement,Me desanimo se os outros não respondem positivamente,أشعر بالإحباط إذا لم يستجب لي الآخرون بشكل إيجابي,अगर लोग सकारात्मक प्रतिक्रिया नहीं देते तो मैं निराश हो जाता हूँ,Ich nehme gerne an sozialen Aktivitäten teil,Mi scoraggio se gli altri non reagiscono positivamente a me,Saya merasa putus asa jika orang lain tidak merespons saya secara positif
I avoid confrontations and prefer harmony,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,192,0,私は対立を避け、調和を好む,나는 대립을 피하고 조화를 선호한다,我避免冲突并偏好和谐,我避免衝突並偏好和諧,Evíto confrontaciones y prefiero la armonía,J’évite les confrontations et je préfère l’harmonie,Evio confrontos e prefiro a harmonia,أتجنب المواجهات وأفضل الانسجام,मैं टकराव से बचता हूँ और सामंजस्य पसंद करता हूँ,"Ich bin entmutigt, wenn andere nicht positiv auf mich reagieren",Evito i confronti e preferisco l’armonia,Saya menghindari konfrontasi dan lebih memilih harmoni
I feel comfortable taking charge in most situations,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,193,0,ほとんどの状況で主導権を握ることに自信がある,나는 대부분의 상황에서 주도권을 잡는 것이 편하다,我在大多数情况下掌控局面时感到自在,我在大多數情況下掌控局面時感到自在,Me siento cómodo tomando el control en la mayoría de las situaciones,Je me sens à l’aise pour prendre les choses en main dans la plupart des situations,Sinto-me à vontade para liderar na maioria das situações,أشعر بالراحة عند تولي القيادة في معظم المواقف,अधिकतर स्थितियों में नेतृत्व करना मुझे सहज लगता है,Ich vermeide Konfrontationen und ziehe Harmonie vor,Mi sento a mio agio nel prendere il comando nella maggior parte delle situazioni,Saya merasa nyaman mengambil alih dalam sebagian besar situasi
I tend to take control when leading a group,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,194,0,グループを率いる際には主導権を握る傾向がある,나는 그룹을 이끌 때 주도권을 잡는 경향이 있다,我在带领团队时倾向于掌控全局,我在帶領團隊時傾向於掌控全局,Tiendo a tomar el control cuando lidero un grupo,J’ai tendance à prendre le contrôle quand je dirige un groupe,Tendo a assumir o controle ao liderar um grupo,أميل إلى تولي القيادة عند قيادة مجموعة,मैं समूह का नेतृत्व करते समय नियंत्रण लेने की प्रवृत्ति रखता हूँ,Ich fühle mich in führender Rolle meist wohl,Tendo a prendere il controllo quando guido un gruppo,Saya cenderung memegang kendali saat memimpin sebuah kelompok
I am outgoing and enjoy being around people,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,195,0,私は社交的で人と一緒にいるのが好きだ,나는 사교적이고 사람들과 함께 있는 것을 좋아한다,我性格外向，喜欢与人相处,我性格外向，喜歡與人相處,Soy extrovertido y me gusta estar con gente,J’ai un tempérament sociable et j’aime être entouré,Gosto de estar com as pessoas e sou extrovertido,أنا منفتح وأستمتع بالتواجد مع الآخرين,मैं मिलनसार हूँ और लोगों के साथ रहना पसंद करता हूँ,"Ich übernehme oft die Kontrolle, wenn ich eine Gruppe leite",Sono estroverso e mi piace stare con le persone,Saya ramah dan senang berada di sekitar orang lain
I prefer working with clear guidelines and standards,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,196,0,明確なガイドラインと基準の下で働くことを好む,나는 명확한 지침과 기준에 따라 일하는 것을 선호한다,我更喜欢在明确的指导和标准下工作,我更喜歡在明確的指導和標準下工作,Prefiero trabajar con pautas y estándares claros,Je préfère travailler avec des directives et des normes claires,Prefiro trabalhar com diretrizes e padrões claros,أفضل العمل ضمن إرشادات ومعايير واضحة,मैं स्पष्ट दिशानिर्देशों और मानकों के साथ काम करना पसंद करता हूँ,Ich bin kontaktfreudig und gerne unter Menschen,Preferisco lavorare con linee guida e standard chiari,Saya lebih suka bekerja dengan pedoman dan standar yang jelas
I find it difficult to accept other opinions easily,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,197,0,他人の意見を簡単に受け入れるのが難しい,나는 다른 사람의 의견을 쉽게 받아들이기 어렵다,我很难轻易接受他人意见,我很難輕易接受他人意見,Me cuesta aceptar fácilmente las opiniones de los demás,J’ai du mal à accepter facilement les opinions des autres,Tenho dificuldade em aceitar facilmente as opiniões dos outros,أجد صعوبة في تقبل آراء الآخرين بسهولة,मुझे दूसरों की राय आसानी से स्वीकार करना मुश्किल लगता है,Ich arbeite gerne mit klaren Richtlinien und Standards,Trovo difficile accettare facilmente le opinioni altrui,Saya merasa sulit menerima pendapat orang lain dengan mudah
I focus on completing tasks to the best of my ability,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,198,0,私はできる限りの努力で課題をやり遂げることに集中する,나는 최선을 다해 과제를 완수하는 데 집중한다,我专注于尽最大努力完成任务,我專注於盡最大努力完成任務,Me concentro en completar las tareas lo mejor posible,Je me concentre à accomplir les tâches du mieux que je peux,Concentro-me em concluir tarefas com o melhor de minhas capacidades,أُركز على إنجاز المهام بأفضل ما لدي,मैं पूरी लगन से कार्य पूरा करने पर ध्यान देता हूँ,"Es fällt mir schwer, andere Meinungen leicht zu akzeptieren",Mi concentro nel completare i compiti al meglio delle mie capacità,Saya fokus menyelesaikan tugas sebaik mungkin
I am enthusiastic when meeting new people,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,199,0,新しい人と会うときに熱意を持って接する,새로운 사람을 만날 때 열정적으로 대한다,遇到新朋友时我很有热情,遇到新朋友時我很有熱情,Me entusiasmo al conocer gente nueva,Je suis enthousiaste à l’idée de rencontrer de nouvelles personnes,Fico entusiasmado ao conhecer novas pessoas,أشعر بالحماس عند مقابلة أشخاص جدد,मैं नए लोगों से मिलने पर उत्साहित हो जाता हूँ,"Ich konzentriere mich darauf, Aufgaben bestmöglich zu erledigen",Sono entusiasta quando incontro nuove persone,Saya antusias saat bertemu orang baru
I am motivated by setting and achieving ambitious goals,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,200,0,私は野心的な目標を設定し達成することで意欲が湧く,나는 야심찬 목표를 설정하고 달성함으로써 동기를 부여받는다,设定和实现雄心勃勃的目标让我充满动力,設定和實現雄心勃勃的目標讓我充滿動力,Me motiva establecer y alcanzar metas ambiciosas,Je suis motivé par la fixation et la réalisation d’objectifs ambitieux,Sou motivado por definir e alcançar metas ambiciosas,أجد الدافع من خلال تحديد وتحقيق أهداف طموحة,मैं महत्वाकांक्षी लक्ष्यों को निर्धारित करके और उन्हें प्राप्त करके प्रेरित होता हूँ,"Ich bin begeistert, wenn ich neue Menschen kennenlerne",Sono motivato dal fissare e raggiungere obiettivi ambiziosi,Saya termotivasi dengan menetapkan dan mencapai tujuan yang ambisius
I find it challenging to accept unclear instructions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,201,0,曖昧な指示を受け入れるのは難しいと感じる,나는 불명확한 지시를 받아들이는 것이 어렵다고 느낀다,我发现接受不清楚的指令具有挑战性,我發現接受不清楚的指令具有挑戰性,Encuentro difícil aceptar instrucciones poco claras,Je trouve difficile d’accepter des instructions floues,Considero desafiador aceitar instruções pouco claras,أجد صعوبة في قبول التعليمات غير الواضحة,मुझे अस्पष्ट निर्देश स्वीकार करना चुनौतीपूर्ण लगता है,"Ich bin motiviert, ehrgeizige Ziele zu setzen und zu erreichen",Trovo difficile accettare istruzioni poco chiare,Saya merasa sulit menerima instruksi yang tidak jelas
I am motivated by building connections and relationships,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,202,0,人とのつながりや関係を築くことにやりがいを感じる,나는 관계와 연결을 형성하는 데서 동기를 얻는다,建立联系和关系激励我,建立聯繫和關係激勵我,Me motiva construir conexiones y relaciones,Je suis motivé par la création de liens et de relations,Sou motivado por construir conexões e relacionamentos,تحفزني بناء الروابط والعلاقات,मैं संबंध और संपर्क बनाकर प्रेरित होता हूँ,Ich bin motiviert durch den Aufbau von Beziehungen und Verbindungen,Sono motivato dal costruire connessioni e relazioni,Saya termotivasi oleh membangun hubungan dan koneksi
I am uncomfortable with sudden changes in plans,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,203,0,突然の予定変更には不快感を感じる,나는 갑작스러운 계획 변경에 불편함을 느낀다,我对计划的突然变化感到不适,我對計劃的突然變化感到不適,Me siento incómodo con los cambios repentinos de planes,Je me sens mal à l’aise avec les changements de plans soudains,Sinto-me desconfortável com mudanças repentinas de planos,أشعر بعدم الارتياح تجاه التغييرات المفاجئة في الخطط,मैं अचानक योजना में बदलाव से असहज महसूस करता हूँ,Plötzliche Planänderungen machen mich unruhig,Mi sento a disagio con cambiamenti improvvisi nei piani,Saya merasa tidak nyaman dengan perubahan rencana yang mendadak
I feel frustrated when things don’t go my way,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,204,0,自分の思い通りにいかないと苛立ちを感じる,일이 내 뜻대로 되지 않을 때 좌절감을 느낀다,当事情不顺利时我感到沮丧,當事情不順利時我感到沮喪,Me frustro cuando las cosas no salen como quiero,Je me sens frustré quand les choses ne se passent pas comme je veux,Fico frustrado quando as coisas não saem como eu quero,أشعر بالإحباط عندما لا تسير الأمور كما أريد,जब चीजें मेरे अनुसार नहीं होती हैं तो मैं निराश महसूस करता हूँ,"Ich bin frustriert, wenn Dinge nicht so laufen, wie ich es möchte",Mi sento frustrato quando le cose non vanno come voglio,Saya merasa frustrasi ketika segala sesuatunya tidak berjalan sesuai keinginan saya
I find it easy to strike up a conversation with strangers,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,205,0,見知らぬ人と話し始めるのが得意だ,나는 낯선 사람과 대화를 시작하는 것이 쉽다,我很容易与陌生人交谈,我很容易與陌生人交談,Me resulta fácil iniciar una conversación con extraños,Je trouve facile d’engager une conversation avec des inconnus,Acho fácil iniciar uma conversa com estranhos,أجد أنه من السهل بدء محادثة مع الغرباء,मैं अजनबियों से बात शुरू करना आसान पाता हूँ,"Es fällt mir leicht, mit Fremden ins Gespräch zu kommen",Trovo facile iniziare una conversazione con gli sconosciuti,Saya merasa mudah memulai percakapan dengan orang asing
I pay attention to details and aim for accuracy,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,206,0,私は細部に注意を払い、正確さを目指す,나는 세부 사항에 주의를 기울이고 정확성을 추구한다,我注重细节并追求准确性,我注重細節並追求準確性,Pongo atención a los detalles y busco la precisión,Je fais attention aux détails et vise l’exactitude,Presto atenção aos detalhes e busco precisão,أولي اهتمامًا بالتفاصيل وأسعى للدقة,मैं विवरणों पर ध्यान देता हूँ और सटीकता का लक्ष्य रखता हूँ,Ich achte auf Details und strebe nach Genauigkeit,Faccio attenzione ai dettagli e miro all’accuratezza,Saya memperhatikan detail dan mengutamakan ketepatan
I follow rules and procedures carefully,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,207,0,私はルールや手順を注意深く守る,나는 규칙과 절차를 신중히 따른다,我认真遵守规则和程序,我認真遵守規則和程序,Sigo las reglas y procedimientos con cuidado,Je suis attentivement les règles et les procédures,Sigo cuidadosamente as regras e procedimentos,أتبع القواعد والإجراءات بعناية,मैं नियमों और प्रक्रियाओं का सावधानीपूर्वक पालन करता हूँ,Ich befolge Regeln und Abläufe sorgfältig,Seguo le regole e le procedure con attenzione,Saya mengikuti aturan dan prosedur dengan hati-hati
I tend to follow routines rather than seeking spontaneity,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,208,0,私は自発性よりもルーチンを重視する傾向がある,나는 자발성보다는 일상을 따르는 경향이 있다,我倾向于遵循日常而非寻求自发性,我傾向於遵循日常而非尋求自發性,Tiendo a seguir rutinas en lugar de buscar espontaneidad,J’ai tendance à suivre des routines plutôt qu’à rechercher la spontanéité,Tendo a seguir rotinas em vez de buscar espontaneidade,أميل إلى اتباع الروتين بدلاً من السعي إلى العفوية,मैं सहजता की बजाय दिनचर्या का पालन करने की प्रवृत्ति रखता हूँ,"Ich folge eher Routinen, anstatt nach Spontaneität zu suchen",Tendo a seguire le routine piuttosto che cercare spontaneità,Saya cenderung mengikuti rutinitas daripada mencari spontanitas
I tend to persuade others to see my perspective,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,209,0,私は他人に自分の視点を理解してもらうよう説得する傾向がある,나는 다른 사람이 내 관점을 이해하도록 설득하는 경향이 있다,我倾向于说服他人接受我的观点,我傾向於說服他人接受我的觀點,Tiendo a persuadir a otros para que vean mi perspectiva,J’ai tendance à persuader les autres de voir mon point de vue,Tendo a persuadir os outros a ver meu ponto de vista,أميل إلى إقناع الآخرين برؤية وجهة نظري,मैं दूसरों को अपना दृष्टिकोण समझाने के लिए प्रेरित करता हूँ,"Ich versuche oft, andere von meinem Standpunkt zu überzeugen",Tendo a persuadere gli altri a vedere il mio punto di vista,Saya cenderung meyakinkan orang lain untuk melihat sudut pandang saya
I prefer a stable and predictable work environment,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,210,0,私は安定した予測可能な職場環境を好む,나는 안정적이고 예측 가능한 작업 환경을 선호한다,我更喜欢稳定且可预测的工作环境,我更喜歡穩定且可預測的工作環境,Prefiero un entorno de trabajo estable y predecible,Je préfère un environnement de travail stable et prévisible,Prefiro um ambiente de trabalho estável e previsível,أفضل بيئة عمل مستقرة ويمكن التنبؤ بها,मैं एक स्थिर और पूर्वानुमेय कार्य वातावरण को पसंद करता हूँ,Ich bevorzuge eine stabile und vorhersehbare Arbeitsumgebung,Preferisco un ambiente di lavoro stabile e prevedibile,Saya lebih suka lingkungan kerja yang stabil dan dapat diprediksi
I am patient and remain calm under pressure,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,211,0,私は我慢強く、プレッシャーの中でも冷静を保つ,나는 인내심이 강하고 압박 속에서도 침착함을 유지한다,我有耐心，在压力下保持冷静,我有耐心，在壓力下保持冷靜,Soy paciente y mantengo la calma bajo presión,Je suis patient et reste calme sous pression,Tenho paciência e mantenho a calma sob pressão,أنا صبور وأظل هادئًا تحت الضغط,मैं धैर्यवान हूँ और दबाव में भी शांत रहता हूँ,Ich bin geduldig und bleibe unter Druck ruhig,Sono paziente e rimango calmo sotto pressione,Saya sabar dan tetap tenang di bawah tekanan
I often defer decisions to avoid causing conflict,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,212,0,対立を避けるために判断を先延ばしにすることが多い,나는 갈등을 피하기 위해 결정을 미루는 경우가 많다,我常常推迟决定以避免冲突,我常常推遲決定以避免衝突,A menudo pospongo decisiones para evitar conflictos,Je diffère souvent mes décisions pour éviter les conflits,Frequentemente adio decisões para evitar conflitos,غالبًا ما أؤجل القرارات لتجنب النزاع,मैं टकराव से बचने के लिए निर्णय को टाल देता हूँ,"Ich schiebe Entscheidungen oft hinaus, um Konflikte zu vermeiden",Rimando spesso le decisioni per evitare conflitti,Saya sering menunda keputusan untuk menghindari konflik
